brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
AD By Arvind,Slim Fit Opaque Casual Shirt,Rs. 1379,Rs. 2299,https://www.myntra.com/shirts/ad+by+arvind/ad-by-arvind-men-slim-fit-checked-casual-shirt/29966531/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29966531/2024/6/14/af0f639d-a25b-41a8-9a67-09f33e7c2e2d1718370507103ADByArvindMenSlimFitOpaqueCheckedCasualShirt1.jpg"
HIGHLANDER,Cotton Linen Relaxed Fit Shirt,Rs. 823,Rs. 3049,https://www.myntra.com/shirts/highlander/highlander-spread-collar-long-sleeves-cotton-linen-relaxed-fit-shirt/34610593/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/tlOSHE7H_ae3c96e82f9f4515b46b452418cc83f3.jpg"
Kaku Fancy dresses,Boys Solid Casual Shirt,Rs. 410,Rs. 700,https://www.myntra.com/shirts/kaku+fancy+dresses/kaku-fancy-dresses-boys-standard-spread-collar-solid-casual-shirt/31282628/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/11/zXawAuSA_e30c1dabf29442829f8d360fff1a6a8e.jpg"
BAESD,Opaque Party Shirt,Rs. 358,Rs. 1999,https://www.myntra.com/shirts/baesd/baesd-boys-standard-gingham-checks-opaque-checked-party-shirt/32885940/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/22/OHJ2VHsv_26a60ae2e31842b6914cb2b78f216996.jpg"
TATTVA,Men Solid Casual Shirt,Rs. 799,Rs. 1999,https://www.myntra.com/shirts/tattva/tattva-men-classic-cutaway-collar-solid-poly-silk-slim-fit-casual-shirt/31213769/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31213769/2025/7/5/2ee325fb-3e35-4117-a983-8391b1863b091751721472993-TATTVA-Men-Classic-Cutaway-Collar-Solid-Poly-Silk-Slim-Fit-C-1.jpg"
Allen Solly Junior,Boys Striped Casual Shirt,Rs. 671,Rs. 1399,https://www.myntra.com/shirts/allen+solly+junior/allen-solly-junior-boys-vertical-striped-casual-shirt/37945960/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/9/0h6TmE3C_3f114be730ed4e439b48f0b7a1bd9ebe.jpg"
CORSICA,Women Solid Casual Shirt,Rs. 498,Rs. 1299,https://www.myntra.com/shirts/corsica/corsica-women-comfort-fit-solid-spread-collar-casual-shirt/37360844/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/7/Tmm019aK_37efc12dbe8d48bc8746292550f2d233.jpg"
HIGHLANDER,Slim Fit Opaque Casual Shirt,Rs. 431,Rs. 1799,https://www.myntra.com/shirts/highlander/highlander-checked-slim-fit-shirt/28086696/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/13/1SY3eVJ1_c90fcb2cb54a48b4a6a27ce645e9ff06.jpg"
U.S. Polo Assn. Kids,Boys Checked Cotton Shirt,Rs. 1119,Rs. 1999,https://www.myntra.com/shirts/u.s.+polo+assn.+kids/us-polo-assn-kids-boys-classic-fit-checked-spread-collar-cotton-casual-shirt/33984608/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/D2FLJO8p_922e02b16c9a4da0ba59a144e5fb04a5.jpg"
DANFORTH,Regular Fit Casual Shirt,Rs. 315,Rs. 1150,https://www.myntra.com/shirts/danforth/danforth-boys-spread-collar-cotton-regular-fit-casual-shirt/37093640/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/20/RLo7GbwB_13c06bcef52b4dd88f7cb36497ec253b.jpg"
